Timestamp,RA,Dec,trackingRA,trackingDec
2026-04-24_05:53:11.520148,213.867632,18.973452,214.240393639,19.0571880341
2026-04-24_05:53:12.020893,213.868114,18.973052,214.240307808,19.0573101044
2026-04-24_05:53:31.549850,213.866717,18.973621,214.240236282,19.0573978424
2026-04-24_05:53:32.050545,213.867484,18.973164,214.239864349,19.0576000214
2026-04-24_05:53:53.081758,213.86692,18.973298,214.240179062,19.0574207306
2026-04-24_05:53:53.582482,213.867081,18.973238,214.239878654,19.0575675964
2026-04-24_05:54:15.615243,213.866297,18.973416,214.240107536,19.0573940277
2026-04-24_05:54:16.115971,213.866514,18.973176,214.239864349,19.0576038361
2026-04-24_05:54:39.150038,213.866333,18.973362,214.239749908,19.0576667786
2026-04-24_05:54:39.650813,213.866483,18.973367,214.239835739,19.0575561523
2026-04-24_05:55:03.686506,213.866033,18.973429,214.240250587,19.0573482513
2026-04-24_05:55:04.187250,213.865965,18.973231,214.239764214,19.0577106476
2026-04-24_05:55:29.224346,213.865605,18.973223,214.239935875,19.0575027466
2026-04-24_05:55:29.725204,213.865215,18.973447,214.239678383,19.0577659607
2026-04-24_05:55:55.763747,213.865088,18.973024,214.240136147,19.0574207306
2026-04-24_05:55:56.264401,213.864828,18.973124,214.23995018,19.0575351715
2026-04-24_05:56:22.803797,213.86419,18.972719,214.240050316,19.057466507
2026-04-24_05:56:23.304504,213.863906,18.972922,214.240236282,19.0573120117
2026-04-24_05:56:51.346059,213.863574,18.972489,214.240336418,19.0572547913
2026-04-24_05:56:51.846809,213.863784,18.972553,214.23989296,19.0575523376
